A01B,Soil Working
A01C,Soil Working
A01D,Harvesting
A01F,Harvesting
A01G,Harvesting
A01J,Animal Husbandry
A01K,Animal Husbandry
A01L,Animal Husbandry
A01M,Protection of Plants
A01N,Protection of Plants
A01H,Organisms
A21B,Grain & Bread
A21C,Grain & Bread
A21D,Grain & Bread
A22B,Animal Products
A23B,Animal Products
A24B,Tobacco
A24C,Tobacco
A24D,Tobacco
A24F,Tobacco
A23F,Dessertables
A23G,Dessertables
A23D,Edible Fats
A23J,Food Preparation
A23L,Food Preparation
A23N,Food Preparation
A23P,Food Preparation
A23Y,Food Preparation
A41B,Apparel
A41C,Apparel
A41D,Apparel
A41F,Apparel
A41G,Apparel
A41H,Apparel
A43B,Footwear
A43C,Footwear
A43D,Footwear
A42B,Headwear
A42C,Headwear
A44B,Ornamentation
A44C,Ornamentation
A45B,Personal Utility
A45C,Personal Utility
A45D,Personal Utility
A45F,Personal Utility
A46B,Personal Utility
A46D,Personal Utility
A61Q,Personal Utility
A44C,Personal Utility
A47B,Furniture
A47C,Furniture
A47D,Furniture
A47F,Furniture
A47H,Household & Office Utility
A47F,Household & Office Utility
A47J,Household & Office Utility
A47K,Household & Office Utility
A47L,Household & Office Utility
A63B,Sports Equipment
A63C,Sports Equipment
A63D,Sports Equipment
A63K,Sports Equipment
A63F,Games & Toys
A63H,Games & Toys
A63G,Games & Toys
A63J,Amusement
A62C,Emergency Devices
A62D,Emergency Devices
A62B,Emergency Devices
A22C,Animal Products
A23C,Animal Products
A23K,Animal Husbandry
A23V,IGNORE
A44D,IGNORE
A47G,Household & Office Utility
A61B,Diagnosis & Surgery
A61C,Dentistry
A61D,Veterinary
A61F,Medical Devices
A61G,Medical Devices
A61H,Medical Devices
A61J,Medical Devices
A61K,Medicines
A61L,Medical Devices
A61M,Medical Devices
A61N,Medical Devices
